In total we have 42407 words in this dataset
The initialization was done in [10813267 ms]
At the train f-ion() of MultinomialNB_Email class countOfLessThanFive=32142
The features with the top 2047 highest mutual information are:

        Feature           Info Gain         Log(P(Ham|Word))        Log(P(Spam|Word))
          enron             1230.99                 0.329034                 -8.65207
          sally             883.557                 -1.17809                 -7.04264
             cc             793.912                 -1.39167                 -6.08712
            ect             740.317                 0.787637                 -7.26578
            hou             638.985                -0.176867                 -5.12571
           2000             596.579                 -0.91193                 -3.97924
      forwarded             587.696                 -1.88786                 -6.25418
             pm             540.121                 -1.39507                 -4.19773
           beck             524.278                 -2.04699                 -7.95893
              !             507.952                 -1.81428                 0.457562
         thanks              450.84                  -1.6636                 -3.42633
           corp             429.993                  -1.4298                 -4.08773
             me             429.469                 -1.19099                 -1.71088
        meeting             421.834                 -1.61424                 -5.12571
        houston             397.887                   -1.512                 -6.01302
       attached              390.83                 -2.26577                 -4.57454
           http             370.247                 -3.99947                 -1.19043
           mike             344.021                 -2.02753                 -6.45485
      questions             340.256                 -2.12412                 -3.60865
             am             337.896                 -1.25813                 -2.22074
              i             326.924                 0.119442                -0.161019
         please             320.567                -0.968965                 -1.19851
            lon             310.613                  -1.2641                 -5.25088
            let             310.592                 -1.91619                 -3.03167
        subject              309.06                 -1.32798                 -2.40017
          brent             304.365                 -2.50053                 -8.65207
          money              299.05                  -4.6475                 -1.24779
              %             297.062                  -3.2612                 -1.14055
         global             295.356                 -1.63283                 -3.79226
           life             293.357                 -6.09442                 -1.93669
             na             291.604                 -2.24427                  -5.7617
           your              280.07                -0.932491                 0.626673
         london             279.375                 -2.02753                 -4.96319
             as             278.314                -0.456951                -0.551912
            ena             275.592                 -1.95526                 -8.65207
              $             273.682                 -2.34197                 0.133619
            www             270.514                 -4.26183                 -1.44126
         office             268.017                 -1.88972                 -3.41563
           2005             266.546                 -8.17386                 -1.75842
         review             265.602                 -1.95128                 -3.20104
             on             264.476               0.00281532                -0.299991
          shona             263.903                 -2.72712                 -8.65207
        discuss             261.194                 -2.68492                 -5.15557
           here             258.916                 -2.57174                 -1.00095
         issues             258.479                 -2.34197                 -5.01449
           2001             254.295                 -2.00844                 -4.17474
      discussed             253.864                 -2.97536                 -6.25418
      reporting             252.551                 -2.25766                 -5.56103
            ted             250.919                 -2.70159                 -7.55346
           rick             247.952                 -2.74451                 -6.57263
            713              246.86                 -2.90086                 -7.95893
       comments             244.783                 -2.93742                  -4.9144
         friday             244.612                 -2.73144                 -5.01449
           jeff              244.54                 -2.71427                 -6.86031
            bob             243.832                 -2.74891                 -5.87948
        trading             243.818                 -1.66658                 -3.56448
           team             243.258                 -2.03397                 -3.35376
             09             241.709                 -2.27122                 -4.52494
